Brand  ,Name of the product,Price,Purpose,Description,  Time of Use (AM or PM)  ,How often to be used a week,Key Ingredients,Ingredients,How to use (skin),PH Level,Skin Type,Is it safe for sensitive skin?,Age target,Helps with,Results showing in the period,What product should not be used together,UV sensitivity increase,How much to apply,Function,
The Inkey List  ,ALPHA ARBUTIN  ,$11.99,Treat  ,"Derived from the leaves of the bearberry plant, this 2% Alpha Arbutin serum targets the appearance of hyperpigmentation and dark spots, helping to brighten the skin and improve overall skin tone. Added Squalane helps to increase skin hydration and smoothness.
",  AM/PM  ,No restrictions  ,"2% alpha arbutin helps to brighten skin
0.5% squalane helps to hydrate skin  ","Water (Aqua/ Eau), Butylene Glycol, Propanediol, Glycerin, Alpha-Arbutin, Dicaprylyl Carbonate, Caprylic/ Capric Triglyceride, Leuconostoc/Radish Root Ferment Filtrate, Hyaluronic Acid, Phenoxyethanol, Hydroxyethyl Acrylate/ Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Squalane, Phospholipids, Glycine Soja (Soybean) Extract, Carbomer, Polysorbate 60, Disodium EDTA, Sodium Hydroxide, Glycolipids, Glycine Soja (Soybean) Sterol, Tetrapeptide -30.",Clean  ,"5.98
  ",Hyperpigmentation  ,Yes  ,Any  ,Hydration; Skin texture improvement; Brighter skin  ,6 weeks   ,N/A  ,No  ,Pea-sized  ,Renews cells  ,
The Inkey List  ,C-50 BLEMISH NIGHT TREATMENT  ,$12.99,Treat  ,"This overnight treatment targets breakouts. Its powerful combination of Vitamin C and Vitamin E helps reduce the bacteria count on your skin, helping prevent and reduce blemishes. Salicylic Acid also helps to exfoliate and unclog pores, while Lotus Extract helps to balance oil.
",  PM  ,No restrictions  ,                                                                                                                                                                                                                                                               ,"Aqua (Water/ Eau), Butylene Glycol, Glycerin, Sodium Hyaluronate, Simmondsia Chinensis (Jojoba) Seed Oil, Carbomer, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Benzyl Alcohol, Squalane, Sodium Lauroyl Lactylate, Sodium PCA, Sodium Hydroxide, Sodium Stearoyl Glutamate, Sodium Lactate, Arginine, Aspartic Acid, Ethylhexylglycerin, Sodium Gluconate, PCA, Polysorbate 60, Dehydroacetic Acid, Ceramide NP, Glycine, Alanine, Sorbitan Isostearate, Ceramide AP, Phytosphingosine, Serine, Cholesterol, Valine, Xanthan Gum, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Ceramide EOP.","Clean, treated  ",6.8-7.2  ,"Acne-prone, Blemishes  ",Yes  ,Any  ,Hydration; control excess oil;  reduce redness  ,N/A  ,N/A  ,Yes  ,Pine nut sized  ,Reduce the bacteria  ,
The Inkey List  ,TURMERIC MOISTURIZER  ,$12.99,Moisturize  ,"This brightening moisturizer with antioxidant properties helps to prevent and re-hydrate dry skin.

Thanks to the antioxidant properties of Turmeric, combined with added Vitamin E and Squalane, this moisturizer can soothe dryness while helping skin appear brighter with a more even skin tone. It can also target redness and calm irritation.",  AM/PM  ,No restrictions  ,"1% Vitamin E to help soothe and smooth skin
Squalane to help hydrate and protect skin  ","Aqua (Water/Eau), Glycerin, Glyceryl Stearate SE, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Stearic Acid, Phenoxyethanol, Benzyl Alcohol, Carbomer, Sodium Hydroxide, Niacinamide, Panthenol, Sodium Ascorbyl Phosphate, Sodium Hyaluronate, Tocopheryl Acetate, Ethylhexylglycerin, Dehydroacetic Acid, Lecithin, Trisodium Ethylenediamine Disuccinate, Ascorbyl Palmitate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil.","Clean, treated  ",6.0-7.0  ,Dehydrated  ,Yes  ,Any  ,Hydration; Nourish skin; Protect against pollution  ,N/A  ,N/A  ,No  ,Pea-sized  ,Seal the moisture  ,e
The Inkey List  ,ALPHA HYDROXY ACID  ,$10.99,Treat  ,"Naturally dervied from fruit acids, this gentle exfoliator is designed to improve the appearance of skin texture, brightness and skin tone.

With 10% fruit acids, and 1% Hyaluronic acid, this AHA gently removes dead skin cells from the surface to help your skin appear brighter and improve the appearance of skin texture and pigmentation. New to exfoliating acids? This serum is a great starting point, providing exfoliation without irritation.",  PM  ,No restrictions  ,"10% fruit acid helps to provide gentle exfoliation
1% low molecular hyaluronic acid for deeper hydration  ","Water (Aqua / Eau), Propanediol, Vaccinium Myrtillus (Bilberry) Fruit Extract, Glycerin, Saccharum Officinarum (Sugar Cane) Extract, Ascorbyl Glucoside, Sodium Hydroxide, Sodium Hyaluronate, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Xanthan Gum, Acer Saccharum (Sugar Maple) Extract, Sodium Benzoate, Allantoin, Sodium Levulinate, Potassium Sorbate, Sodium Anisate, Trisodium Ethylenediamine Disuccinate.","Clean, hydrated  ",3.6-4.0  ,Uneven skin texture  ,No  ,Any  ,Hydration; Smoother skin; Brighter Skin  ,N/A  ,"Retinol, AHA  ",Yes  ,Pine nut sized  ,Exfoliate  ,
The Inkey List  ,"VITAMIN B, C AND E MOISTURIZER  ",$4.99,Moisturize  ,"This lightweight daily moisturizer delivers every essential vitamin for healthy-looking skin, including clarifying B3 (Niacinamide) to help balance oil, brightening antioxidant Vitamin C, and soothing Vitamin E. Perfect for normal skin types looking to keep skin healthy.",  AM/PM  ,No restrictions  ,"Vitamin B3 (Niacinamide): Helps control excess oil and the look of redness.
Vitamin C: Brightens the appearance of dull skin and increases radiance
Vitamin E: Soothes  ","Aqua (Water/Eau), Glycerin, Glyceryl Stearate SE, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Stearic Acid, Phenoxyethanol, Benzyl Alcohol, Carbomer, Sodium Hydroxide, Niacinamide, Panthenol, Sodium Ascorbyl Phosphate, Sodium Hyaluronate, Tocopheryl Acetate, Ethylhexylglycerin, Dehydroacetic Acid, Lecithin, Trisodium Ethylenediamine Disuccinate, Ascorbyl Palmitate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil.","Clean, treated  ",6.0-7.0  ,Dry  ,Yes  ,Any  ,Hydration; Nourish skin; Protect against pollution  ,N/A  ,N/A  ,No  ,Pea-sized  ,Seal the moisture  ,
The Inkey List  ,15% VITAMIN C + EGF SERUM  ,$14.99,Treat  ,"
Achieve smooth, healthy-looking skin with this cutting-edge formula. Vitamin C combines with plant-derived EGF to create a potent dose that helps brighten dull skin. EGF helps skin regeneration and supports natural collagen and elastin within the skin's matrix, while Ascorbyl Glucoside converts to pure Vitamin C on the surface for a brighter, more even-looking complexion.",  AM  ,No restrictions  ,"15% Ascorbyl Glucoside (Vitamin C): A potent antioxidant that helps brighten the look of skin and protect from environmental stressors.
1% Epitensive™: A plant-derived Epidermal Growth Factor system to support natural elasticity and skin health.  ","Aqua (Water/Eau), Ascorbyl Glucoside, Sodium Hydroxide, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Benzyl Alcohol, Butylene Glycol, Xanthan Gum, Ethylhexylglycerin, Sodium Metabisulfite, Dehydroacetic Acid, Phytic Acid, Oligopeptide-1.","Clean, hydrated  ",6.8–7.2  ,"Dull skin, uneven skin texture  ",Yes  ,Any  ,Hydration; Anti-aging; Protect against pollution  ,N/A  ,N/A  ,Yes  ,Pea-sized  ,Brighten  ,
The Inkey List  ,VITAMIN C 30%  ,$9.99,Treat  ,"Vitamin C is a powerful, multi-functional antioxidant and skin brightening ingredient. It helps to tackle the appearance of hyperpigmentation, dullness and fine lines.

Formulated with 30% pure L-ascorbic Acid, this serum helps your skin appear brighter and targets signs of aging. It also helps to protect against free radicals and pollution. Best used in the AM, the rich, creamy texture gives an instant smoothing effect, making it a great base for makeup.",  AM  ,No restrictions  ,30% pure stable l-ascorbic acid (vitamin c)  ,"Dimethicone, Ascorbic Acid, Polysilicone-11, Peg-10 Dimethicone.","Clean, hydrated  ",N/A  ,Dull skin  ,Yes  ,Any  ,Brighter skin  ,N/A  ,N/A  ,Yes  ,Pea-sized  ,Brighten  ,
The Inkey List  ,BAKUCHIOL MOISTURIZER  ,$9.99,Moisturize  ,"Plant derived, and with antioxidant properties, this natural Retinol alternative helps to reduce the appearance of fine lines and wrinkles and even skin tone. Formulated with the Omega-3 packed Sacha Inchi Oil and Squalane, it also works to hydrate and nourish your skin. It does not cause any sun sensitivity, so can be used in both the AM and PM, and is safe to use during pregancy.",  AM/PM  ,No restrictions  ,"1% Bakuchiol helps to reduce the appearance of fine lines and wrinkles
3% Squalane helps to hydrate and protect the skin
1.5% Sacha Inchi Oil rich in omega-3 to nourish the skin  ","Aqua (Water/ Eau), Squalane, Glycerin, Propanediol, Plukenetia Volubilis Seed Oil (Sacha Inchi oil), Dicaprylyl Carbonate, Bakuchiol,Phenoxyethanol, Sodium Caproyl Prolinate, Hydroxyethyl Acrylate/ Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Sodium Hydroxide, Ethylhexylglycer-in, Sodium Stearoyl Glutamate, Polysorbate 60, Phytic Acid, Glyceryl Polyacrylate, Sorbitan Isostearate, Tocopherol.",Clean  ,6.0-7.0  ,Dry  ,Yes  ,Any  ,Hydration; Collagen Boost; Gentle Exfoliation  ,N/A  ,N/A  ,No  ,Blueberry-sized  ,Seal the moisture  ,
The Inkey List  ,PHA TONER  ,$9.99,Treat  ,"PHA (Polyhydroxy acid) is a gentle chemical exfoliant for sensitive skin. Made of large molecules, it removes dead cells from the surface layer of the skin, while naturally locking in moisture.
",  AM/PM  ,No restrictions  ,"3% PHA helps to improve skin texture
3% Niacinamide helps to reduce excess oil and improve uneven tone
Aloe barbadensis leaf juice soothes skin  ","Water (Aqua / Eau), Propanediol, Gluconolactone, Niacinamide, Pentylene Glycol, Glycerin, Aloe Barbadensis Leaf Juice, Potassium Sorbate, Sodium Benzoate, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, 1,2-Hexanediol, Caprylyl Glycol, Ethylhexylglycerin, Citric Acid, Sodium Hydroxide.","Clean, hydrated  ",3.62,Uneven skin texture  ,No  ,Any  ,"Hydration; Brighter skin, Even skin tone  ",N/A  ,N/A  ,No  ,Satured cotton pad   ,Renews cells  ,
The Inkey List  ,BETA HYDROXY ACID  ,$10.99,Treat  ,"BHA is an exfoliator that works beneath the surface of the skin to help unclog pores, target blackheads and reduce excess oil.

Oil soluble, this BHA serum contains 2% Salicylic Acid. This means it can penetrate deeper into your skin, helping to unclog pores, fight blackheads and breakouts and reduce pore appearance. BHA is great choice for oilier skin as its anti-inflammatory and anti-bacterial properties can help calm breakout prone skin. Thanks to added 1% Hyaluronic Acid it is non-drying to skin.",  AM/PM  ,No restrictions  ,"2% Salicylic Acid
1% low molecular Hyaluronic Acid  ","Water (Aqua / Eau), Propanediol, Betaine, Salicylic Acid, Sodium Hyaluronate, Zinc PCA, Phenoxyethanol, Hydroxyethylcellulose, Maltodextrin, Sodium Hydroxide, Ethylhexylglycerin, Biosaccharide Gum-1, Trisodium Ethylenediamine Disuccinate.","Clean, hydrated  ",4.5-5.3  ,"Acne-prone, Blemishes, Oily  ",Yes  ,Any  ,"Hydration; Clearer skin, Excess oil control  ",N/A  ,N/A  ,Yes  ,Pea-sized  ,Exfoliate  ,
The Inkey List  ,APPLE CIDER VINEGAR ACID PEEL  ,$14.99,Treat  ,"Glow in 10 minutes. This next-generation peel is built for multi-level exfoliation and formulated to be hardworking but non-irritating. Antioxidant rich apple cider vingear helps brighten and reduce redness, while minimising the appearance of pores, post-blemish marks and reducing breakouts. Glycolic and fruit acids combine to smooth and refine skin texture for overall smoother, brighter skin.
",  PM  ,1,                                                                                                                                                                                                                                                               ,"Aqua (Water), Glycolic Acid, Glycerin, Caprylyl/Capryl Glucoside, Polysorbate 20, Vaccinium Myrtillus (Bilberry) Fruit Extract, Acetum (Vinegar), Sodium Hydroxide, Propanediol, Xanthan Gum, Saccharum Officinarum (Sugar Cane) Extract, Lactobacillus/Vaccinium Macrocarpon Fruit Ferment Filtrate, Phenoxyethanol, Hippophae Rhamnoides (Seabuckthorn) Fruit Oil, Salix Alba (Willow) Bark Extract, Maltodextrin, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Citronellyl Methylcrotonate, Acer Saccharum (Sugar Maple) Extract, Ethylhexylglycerin, Leuconostoc/Rad-ish Root Ferment Filtrate, Biosaccharide Gum-1, Phytic Acid, Agastache Mexicana Flower/Leaf/Stem Extract.","Clean, damp  ",3.6-4.2  ,"Acne-prone, Blemishes, Oily  ",No  ,Any  ,"Hydration; Clearer skin, Excess oil control  ",N/A  ,"Retinol, AHA, BHA  ",Yes  ,Grape-sized  ,Exfoliate  ,
The Inkey List  ,SQUALANE  ,$11.99,Moisturize  ,"This natural skin oil helps to hydrate and protect your skin.

A natural, super-lightweight face oil that improves skin hydration and helps reduce the appearance of fine lines. 100% plant-derived, this Squalane oil is lightweight, non-greasy oil that\'s superhydrating for healthy, glowing skin. It can also help to reduce the appearance of fine lines and support oil control. So it\'s a great choice for all skin types, from dry to oily skin.",  AM/PM  ,No restrictions  ,100% plant derived squalane  ,100% Squalane.,"Clean, moisturized  ",5.52,"Oily, Dry  ",Yes  ,Any  ,Hydration; Anti-aging; Plump skin  ,N/A  ,N/A  ,No  ,Blueberry-sized  ,Seal the moisture  ,
The Inkey List  ,OIL & WATER DOUBLE CLEANSER  ,$9.99,Clean  ,"Combined, 2-in-1 daily cleanser formulated with naturally derived Sea Buckthorn and Sweet Almond oil. Gently removes make-up and skin impurities while nourishing. Added Panthenol works to improve skins moisture levels for a non-drying and thorough cleanse.",  AM/PM  ,No restrictions  ,"16% sweet almond oil helps to remove make-up and nourish skin
2% sea buckthorn oil helps to hydrate skin
1% panthenol helps to improve skin’s moisture levels  ","Aqua (Water/ Eau), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Isopropyl Palmitate, Isododecane, Hydrogenated Tetradecenyl/ Methylpentadecene, Hippophae Rhamnoides (Seabuckthorn) Fruit Oil, Panthenol, Disodium Phosphate, Phenoxyethanol, Sodium Chloride, Glycerin, Gluconolactone, Sodium Benzoate, Trisodium Ethylenediamine Disuccinate, Citric Acid, Avena Strigosa Seed Extract, Lecithin, Calcium Gluconate, Potassium Sorbate.",Dirty  ,5.7-6.2  ,Dry  ,Yes  ,Any  ,Hydration; Gentle exfoliation; Protection against pollution  ,Immediately  ,N/A  ,No  ,Grape-sized  ,Remove makeu-up  ,
